x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16	x17	x18	x19	x20	x21	x22	x23	y
STol	b	OBn	equatorial	OBn	OBn	axial	CH3	72000	OMe	a	OBn	OBn	OH	OBn	4_OH	secondary	3.51	-40 ℃	DCM	0.167M	1:1.5	NIS_TfOH	91
STol	a	H	equatorial	OBn	OBn	equatorial	OBn	1000000	OMe	a	OBn	OBn	OH	OBn	4_OH	secondary	3.51	-40 ℃	DCM	0.167M	1:1.5	NIS_TfOH	92
STol	b	N3	equatorial	OBn	OBn	equatorial	OBn	270	OMe	a	OBn	OBn	OBn	OH	6_OH	primary	7.16	-40 ℃	DCM	0.167M	1:1.5	NIS_TfOH	35
STol	b	OBn	equatorial	OBn	OBn	equatorial	OBn	2656	OMe	a	OBn	OBn	OBn	OH	6_OH	primary	7.16	-40 ℃	DCM	0.167M	1:1.5	NIS_TfOH	33
STol	b	OBn	equatorial	OBn	OBn	axial	CH3	72000	OMe	a	OBn	OBn	OBn	OH	6_OH	primary	7.16	-40 ℃	DCM	0.167M	1:1.5	NIS_TfOH	78
STol	a	H	equatorial	OBn	OBn	equatorial	OBn	1000000	OMe	a	OBn	OBn	OBn	OH	6_OH	primary	7.16	-40 ℃	DCM	0.167M	1:1.5	NIS_TfOH	83
STol	b	N3	equatorial	OBn	OBn	equatorial	OBn	270	OMe	a	OBn	OBn	OH	OBn	4_OH	secondary	1	-40 ℃	DCM	0.167M	1:1.5	NIS_TfOH	34
STol	b	OBn	equatorial	OBn	OBn	equatorial	OBn	2656	OMe	a	OBn	OBn	OH	OBn	4_OH	secondary	1	-40 ℃	DCM	0.167M	1:1.5	NIS_TfOH	75
STol	b	OBn	equatorial	OBn	OBn	axial	CH3	72000	OMe	a	OBn	OBn	OH	OBn	4_OH	secondary	1	-40 ℃	DCM	0.167M	1:1.5	NIS_TfOH	77
STol	a	H	equatorial	OBn	OBn	equatorial	OBn	1000000	OMe	a	OBn	OBn	OH	OBn	4_OH	secondary	1	-40 ℃	DCM	0.167M	1:1.5	NIS_TfOH	91
STol	b	N3	equatorial	OBn	OBn	equatorial	OBn	270	-	-	-	-	-	-	1_OH	primary	100	-40 ℃	DCM	0.167M	1:1.5	IDCP	No Reaction
STol	b	N3	equatorial	OBn	OBn	equatorial	OBn	270	OMe	a	OBn	OBn	OH	OBn	4_OH	secondary	3.51	-40 ℃	DCM	0.167M	1:1.5	IDCP	No Reaction
STol	b	N3	equatorial	OBn	OBn	equatorial	OBn	270	OMe	a	OBn	OBn	OBn	OH	6_OH	primary	7.16	-40 ℃	DCM	0.167M	1:1.5	IDCP	No Reaction
STol	b	N3	equatorial	OBn	OBn	equatorial	OBn	270	-	-	-	-	-	-	1_OH	Secondary	1.36	-40 ℃	DCM	0.167M	1:1.5	IDCP	No Reaction
STol	b	N3	equatorial	OBn	OBn	equatorial	OBn	270	OMe	a	OBn	OBn	OH	OBn	4_OH	secondary	1	-40 ℃	DCM	0.167M	1:1.5	IDCP	No Reaction
